172	11										
Time	C2H2	H2	H	O2	OH	H2O	CO	A4	T	P	Alpha
0.030129711	1.07E-07	6.26E-07	2.88E-10	1.06E-10	1.66E-11	7.43E-07	0	3.78E-13	1688	1	0.543655422
0.030699163	1.07E-07	6.27E-07	2.85E-10	8.79E-11	1.64E-11	7.42E-07	0	3.75E-13	1688	1	0.540908449
0.031266255	1.07E-07	6.28E-07	2.82E-10	7.26E-11	1.61E-11	7.41E-07	0	3.74E-13	1687	1	0.538751729
0.03183365	1.07E-07	6.30E-07	2.79E-10	5.99E-11	1.59E-11	7.41E-07	0	3.72E-13	1686	1	0.537283155
0.032401347	1.07E-07	6.31E-07	2.77E-10	4.92E-11	1.57E-11	7.41E-07	0	3.70E-13	1685	1	0.535140277
0.032969347	1.07E-07	6.32E-07	2.74E-10	4.04E-11	1.55E-11	7.41E-07	0	3.68E-13	1684	1	0.533005595
0.033545655	1.07E-07	6.34E-07	2.72E-10	3.29E-11	1.53E-11	7.40E-07	0	3.65E-13	1683	1	0.531551366
0.034106253	1.07E-07	6.35E-07	2.70E-10	2.70E-11	1.51E-11	7.39E-07	0	3.63E-13	1682	1	0.530100554
0.03466715	1.07E-07	6.36E-07	2.67E-10	2.20E-11	1.49E-11	7.39E-07	0	3.61E-13	1681	1	0.527984753
0.035228347	1.07E-07	6.38E-07	2.65E-10	1.80E-11	1.47E-11	7.39E-07	0	3.59E-13	1680	1	0.526542637
0.035816583	1.07E-07	6.39E-07	2.63E-10	1.45E-11	1.45E-11	7.39E-07	0	3.57E-13	1679	1	0.525103917
0.036378305	1.07E-07	0.00000064	2.61E-10	1.18E-11	1.43E-11	7.38E-07	0	3.55E-13	1678	1	0.523668461
0.036940253	1.07E-07	6.41E-07	2.59E-10	9.60E-12	1.41E-11	7.38E-07	0	3.52E-13	1678	1	0.521685436
0.037502502	1.07E-07	6.42E-07	2.57E-10	7.81E-12	1.39E-11	7.37E-07	0	3.50E-13	1677	1	0.52025894
0.038091841	1.07E-07	6.43E-07	2.55E-10	6.29E-12	1.38E-11	7.37E-07	0	3.48E-13	1676	1	0.518180147
0.038654692	1.07E-07	6.44E-07	2.53E-10	5.11E-12	1.36E-11	7.37E-07	0	3.45E-13	1675	1	0.517415728
0.039217846	1.07E-07	6.45E-07	2.51E-10	4.16E-12	1.34E-11	7.36E-07	0	3.43E-13	1674	1	0.51599896
0.039781302	1.07E-07	6.47E-07	2.49E-10	3.38E-12	1.33E-11	7.36E-07	0	3.41E-13	1673	1	0.514585411
0.04034506	1.07E-07	6.48E-07	2.47E-10	2.75E-12	1.31E-11	7.36E-07	0	3.39E-13	1672	1	0.513175031
0.040909122	1.07E-07	6.49E-07	2.45E-10	2.24E-12	1.30E-11	7.36E-07	0	3.36E-13	1671	1	0.512415024
0.041473486	1.07E-07	6.50E-07	2.43E-10	1.82E-12	1.28E-11	7.35E-07	0	3.34E-13	1670	1	0.511655312
0.042064963	1.07E-07	6.51E-07	2.41E-10	1.47E-12	1.27E-11	7.35E-07	0	3.32E-13	1670	1	0.509719112
0.042629783	1.07E-07	6.52E-07	2.40E-10	1.20E-12	1.25E-11	7.34E-07	0	3.29E-13	1669	1	0.508319915
0.043194907	1.07E-07	6.53E-07	2.38E-10	9.76E-13	1.24E-11	7.35E-07	0	3.27E-13	1668	1	0.507564795
0.043760335	1.07E-07	6.54E-07	2.36E-10	7.97E-13	1.23E-11	7.34E-07	0	3.25E-13	1667	1	0.506169973
0.044326068	1.07E-07	6.55E-07	2.34E-10	6.51E-13	1.21E-11	7.34E-07	0	3.23E-13	1666	1	0.50541645
0.044892105	1.07E-07	6.56E-07	2.33E-10	5.32E-13	1.20E-11	7.34E-07	0	3.20E-13	1665	1	0.504025903
0.045458449	1.07E-07	6.57E-07	2.31E-10	4.35E-13	1.19E-11	7.34E-07	0	3.18E-13	1664	1	0.503273882
0.046025097	1.07E-07	6.58E-07	2.29E-10	3.56E-13	1.17E-11	7.34E-07	0	3.16E-13	1663	1	0.502522167
0.046591975	1.07E-07	6.59E-07	2.28E-10	2.92E-13	1.16E-11	7.34E-07	0	3.14E-13	1662	1	0.501137116
0.047159083	1.06E-07	6.59E-07	2.26E-10	2.39E-13	1.15E-11	7.33E-07	0	3.11E-13	1662	1	0.499872458
0.047726497	1.06E-07	6.60E-07	2.24E-10	1.96E-13	1.13E-11	7.33E-07	0	3.09E-13	1661	1	0.499124068
0.048294218	1.06E-07	6.61E-07	2.23E-10	1.61E-13	1.12E-11	7.33E-07	0	3.07E-13	1660	1	0.497746753
0.048862246	1.06E-07	6.62E-07	2.21E-10	1.33E-13	1.11E-11	7.33E-07	0	3.05E-13	1659	1	0.49699984
0.049430582	1.06E-07	6.63E-07	2.19E-10	1.09E-13	1.10E-11	7.33E-07	0	3.03E-13	1658	1	0.496253178
0.049999148	1.06E-07	6.64E-07	2.18E-10	8.99E-14	1.09E-11	7.33E-07	0	3.00E-13	1657	1	0.495506771
0.050567946	1.06E-07	6.65E-07	2.16E-10	7.40E-14	1.07E-11	7.32E-07	0	2.98E-13	1657	1	0.49363223
0.051137052	1.06E-07	6.66E-07	2.15E-10	6.10E-14	1.06E-11	7.32E-07	0	2.96E-13	1656	1	0.492888851
0.051706466	1.06E-07	6.67E-07	2.13E-10	5.03E-14	1.05E-11	7.33E-07	0	2.94E-13	1655	1	0.4921457
0.052276189	1.06E-07	6.67E-07	2.12E-10	4.15E-14	1.04E-11	7.32E-07	0	2.92E-13	1654	1	0.491402736
0.052846144	1.06E-07	6.68E-07	2.10E-10	3.41E-14	1.03E-11	7.33E-07	0	2.90E-13	1653	1	0.490660051
0.054231449	1.06E-07	6.70E-07	2.06E-10	2.13E-14	1.00E-11	7.32E-07	0	2.84E-13	1651	1	0.489175262
0.058261402	1.06E-07	6.76E-07	1.96E-10	6.79E-15	9.26E-12	7.32E-07	0	2.70E-13	1645	1	0.482891188
0.062305117	1.06E-07	6.81E-07	1.86E-10	2.28E-15	8.59E-12	7.32E-07	0	2.56E-13	1639	1	0.479070551
0.066335275	1.06E-07	6.86E-07	1.76E-10	8.31E-16	7.94E-12	7.32E-07	0	2.43E-13	1634	1	0.473580893
0.070379848	1.06E-07	6.91E-07	1.66E-10	3.44E-16	7.35E-12	7.33E-07	0	2.30E-13	1628	1	0.471559347
0.074411327	1.06E-07	6.95E-07	1.58E-10	1.71E-16	6.81E-12	7.33E-07	0	2.19E-13	1622	1	0.46654779
0.078456769	1.06E-07	7.00E-07	1.49E-10	1.03E-16	6.31E-12	7.34E-07	0	2.07E-13	1616	1	0.464490913
0.082488466	1.06E-07	7.04E-07	1.41E-10	7.27E-17	5.85E-12	7.36E-07	0	1.97E-13	1610	1	0.460651987
0.086534789	1.06E-07	7.08E-07	1.34E-10	5.61E-17	5.41E-12	7.37E-07	0	1.87E-13	1604	1	0.459724939
0.090567838	1.06E-07	7.12E-07	1.26E-10	4.54E-17	5.00E-12	7.38E-07	0	1.77E-13	1598	1	0.455857528
0.094616193	1.07E-07	7.16E-07	1.19E-10	3.74E-17	4.61E-12	7.40E-07	0	1.68E-13	1592	1	0.454879723
0.098651751	1.07E-07	7.20E-07	1.12E-10	3.10E-17	4.25E-12	7.41E-07	0	1.59E-13	1586	1	0.45098443
0.102673845	1.07E-07	7.23E-07	1.05E-10	2.58E-17	3.92E-12	7.43E-07	0	1.50E-13	1580	1	0.450533475
0.106710803	1.07E-07	7.26E-07	9.92E-11	2.15E-17	3.62E-12	7.44E-07	0	1.43E-13	1575	1	0.446783899
0.110762736	1.07E-07	7.30E-07	9.36E-11	1.80E-17	3.35E-12	7.46E-07	0	1.36E-13	1569	1	0.446858294
0.114801115	1.07E-07	7.33E-07	8.83E-11	1.51E-17	3.10E-12	7.48E-07	0	1.29E-13	1563	1	0.443471737
0.118854586	1.07E-07	7.35E-07	8.33E-11	1.26E-17	2.87E-12	7.50E-07	0	1.22E-13	1558	1	0.443110177
0.122894407	1.08E-07	7.37E-07	7.88E-11	1.08E-17	2.67E-12	7.53E-07	0	1.17E-13	1552	1	0.439690975
0.125207214	1.08E-07	7.37E-07	7.88E-11	1.08E-17	2.67E-12	7.53E-07	0	1.17E-13	1552	1	0.439690975
